Assessment,Questionnaire,Control Identifier,Control Question,Response,Comment,Evidence
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-1.1","Are there formally documented policies and procedures for access control? If yes, please attach.","Yes","There are access control policies for PeriGen corporate systems. However, in the context of the PeriWatch application, Access Controls are built-into the product and are to be used and configured by the customer. User guides and administrative guides are provided to the customer. ","HIPAA-WI-005 - Workforce Security and Information Access rev 01.00.pdf; HIPAA-WI-006 - Technical and Infrastructure Security rev 01.01.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-3.1","Does the information system verify the rights of a user to access the information system? (Access Control Lists, Group/Role membership?) If yes, detail how the access is enforced in the comment. ","Yes","Access control is managed by security groups that match AD groups such that AD authenticated users are granted access based on the group they are associated to.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-3.2","Does the information system support role-based account management and access controls (RBAC)? ","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-3.3","If RBAC is supported, can a customer administrator create/customize unique roles and permissions.","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-7.1","Is an account automatically locked out after a set amount of attempts? ","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-8.1","Is there a system use notification displayed before granting access that provides privacy and security notices?","No","The system is deployed in customer controlled workstations managed and labeled by customer IT. No extra notification is displayed on the PeriWatch login dialog.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-9.1","Does the system display the last user logon date and time to the user?","No","Technically possible, presently the system does not have this feature.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-10.1","Does the system limit the number of concurrent sessions for the user?","Partial","Only one instance of the application is allowed per station and only one user can be logged-in per session. Howerver, the same user can be logged-in to more than one workstation at the same time.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-11.1","Does the application/system have a session lock after a period of inactivity that requires a user to reauthenticate?","Yes","Configurable by the customer",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AC-12.1","Does the application/system terminate the session after predefined circumstances?","No","Application never terminates on its own as it is a 24x7 surveillance system. Session logoff after a configurable time is the only mechanism",""
