Hostname,Group,First Seen,Last Seen,Agent Version,Keycode,Status,VM,Agent Language,Policy,Last Infected,Internal IP Address,MACAddress,Active Directory Domain,Active Directory Organisational Unit,Work Group,User,MAC,Windows Full OS,Last Public IP
PERIGEN-DR,Default Group,December 23 2016 13:08,January 16 2020 13:21,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,Yes,EN,Recommended Server Defaults,,192.168.33.10,00:50:56:9A:25:AE,e-and-c-jlm.com,Computers,E_AND_C,,No,Windows Server 2008 Service Pack 1 (Build 7601) 64bit,99.58.163.105
NJ-MGMT-VCENTER,Default Group,March 17 2015 11:09,January 16 2020 13:21,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,Yes,EN,Recommended Server Defaults,July 17 2019 8:40,192.168.100.200,00:0C:29:A7:54:7F,ecmed.local,Perigen NJ\\.Computers.Servers,ECMED,,No,Windows Server 2008 Service Pack 1 (Build 7601) 64bit,99.58.163.105
NJDC,Default Group,June 16 2016 21:51,January 16 2020 13:22,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,Yes,EN,Recommended Server Defaults,,192.168.33.2,00:50:56:9A:60:E7,ecmed.local,Domain Controllers,ECMED,,No,Windows Server 2008 Service Pack 1 (Build 7601) 64bit,99.58.163.105
NJDC2,Default Group,March 17 2015 14:17,January 16 2020 13:22,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,Yes,EN,Recommended Server Defaults,,192.168.33.8,00:50:56:9A:0E:0C,ecmed.local,Domain Controllers,ECMED,,No,Windows Server 2008 Service Pack 1 (Build 7601) 64bit,99.58.163.105
PERLAP2597,Default Group,March 31 2017 13:26,January 16 2020 8:22,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,No,EN,Unhide Console - Perigen 5 pm scan,,192.168.0.7,C8:5B:76:C7:1A:CC,ecmed.local,Perigen NJ\\.Computers.Laptops,ECMED,tgreen,No,Windows 10.0 (Build 17134) 64bit,74.192.117.162
PER-NAC-GP,Default Group,January 13 2020 17:44,January 14 2020 2:38,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,No,EN,Unhide Console - Perigen 5 pm scan,,192.168.33.12,5C:B9:01:7B:AD:B7,ecmed.local,Perigen NJ\\.Computers.Servers,ECMED,,No,Windows Server 2012 (Build 9600) 64bit,99.58.163.105
PERI-CARY-TCOLV,Default Group,November 16 2017 8:34,January 15 2020 13:17,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,No,EN,Unhide Console - Perigen 5 pm scan,April 27 2018 12:23,192.168.0.12,54:E1:AD:36:6B:1A,Internal.Perigen.com,Perigen.Sites.Cary.Workstations,PERIGEN,Terry.Colvert,No,Windows 10.0 (Build 18362) 64bit,144.163.68.3
PERI-CARY-RMILL,Default Group,February 27 2017 18:31,January 15 2020 17:43,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,No,EN,Unhide Console - Perigen 5 pm scan,August 23 2017 11:02,10.108.100.119,3C:97:0E:BF:FD:A0,Internal.Perigen.com,Perigen.Sites.Cary.Workstations,PERIGEN,Rebecca.Millard,No,Windows 7 Service Pack 1 (Build 7601) 64bit,99.58.163.105
PERLAP2578,Default Group,September 17 2015 8:48,January 16 2020 13:06,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,No,EN,Unhide Console - Perigen 5 pm scan,February 06 2017 19:00,192.168.0.32,00:09:0F:AA:00:01,Internal.Perigen.com,Computers,PERIGEN,mary.rogala,No,Windows 8.1 (Build 9600) 64bit,174.17.161.115
PERI-CARY-BNUNN,Default Group,February 27 2017 14:13,January 15 2020 17:50,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,No,EN,Unhide Console - Perigen 5 pm scan,February 27 2017 14:22,10.108.100.102,18:4F:32:2D:5C:A5,Internal.Perigen.com,Perigen.Sites.Cary.Workstations,PERIGEN,Balaji.Nunna,No,Windows 7 Service Pack 1 (Build 7601) 64bit,99.58.163.105
PERI-CARY-AGUND,Default Group,February 27 2017 16:44,January 16 2020 11:30,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,No,EN,Unhide Console - Perigen 5 pm scan,February 28 2018 10:41,192.168.1.31,A4:34:D9:EB:E1:FE,Internal.Perigen.com,Perigen.Sites.Cary.Workstations,PERIGEN,Anitha.Gundam,No,Windows 7 Service Pack 1 (Build 7601) 64bit,99.58.163.105
PERI-CARY-LSACC,Default Group,February 15 2018 7:13,January 16 2020 13:51,9.0.26.61,94AB-GSMT-9F60-1694-4DA3,Protected,No,EN,Unhide Console - Perigen 5 pm scan,July 01 2019 9:05,192.168.1.3,54:E1:AD:36:6A:28,Internal.Perigen.com,Perigen.Sites.Cary.Workstations,PERIGEN,lsacchetto,No,Windows 10.0 (Build 18362) 64bit,68.117.196.57
